name;id;category;url
Sarraz, La (commune);dhs-002348;commune;https://hls-dhs-dss.ch/fr/articles/002348/2010-03-16/
Sarzens;dhs-002486;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002486/2017-01-11/
Sassel;dhs-002586;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002586/2017-01-05/
Saubraz;dhs-002307;commune;https://hls-dhs-dss.ch/fr/articles/002307/2009-12-30/
Savigny;dhs-002425;commune;https://hls-dhs-dss.ch/fr/articles/002425/2009-11-17/
Seigneux;dhs-002588;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002588/2017-01-05/
Senarclens;dhs-002349;commune;https://hls-dhs-dss.ch/fr/articles/002349/2010-12-06/
Sergey;dhs-002545;commune;https://hls-dhs-dss.ch/fr/articles/002545/2013-04-25/
Serraux;dhs-041242;ancienne commune;https://hls-dhs-dss.ch/fr/articles/041242/2014-10-02/
Servion;dhs-002568;commune;https://hls-dhs-dss.ch/fr/articles/002568/2017-01-05/
Signy-Avenex;dhs-002520;commune;https://hls-dhs-dss.ch/fr/articles/002520/2010-06-15/
Sottens;dhs-002487;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002487/2017-01-04/
Suchy;dhs-002650;commune;https://hls-dhs-dss.ch/fr/articles/002650/2012-07-25/
Sugnens;dhs-002379;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002379/2017-01-04/
Sullens;dhs-002351;commune;https://hls-dhs-dss.ch/fr/articles/002351/2011-12-08/
Suscévaz;dhs-002651;commune;https://hls-dhs-dss.ch/fr/articles/002651/2011-05-02/
Syens;dhs-002488;commune;https://hls-dhs-dss.ch/fr/articles/002488/2011-04-29/
Sédeilles;dhs-002587;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002587/2017-01-05/
Sévery;dhs-002350;commune;https://hls-dhs-dss.ch/fr/articles/002350/2010-12-06/
Tannay;dhs-002521;commune;https://hls-dhs-dss.ch/fr/articles/002521/2011-07-04/
Tartegnin;dhs-002607;commune;https://hls-dhs-dss.ch/fr/articles/002607/2011-07-04/
Tavernes, Les;dhs-002569;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002569/2017-01-05/
Thierrens;dhs-002489;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002489/2017-01-04/
Thioleyres, Les;dhs-002570;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002570/2017-01-05/
Tolochenaz;dhs-002454;commune;https://hls-dhs-dss.ch/fr/articles/002454/2014-02-25/
Tour-de-Peilz, La;dhs-002619;commune;https://hls-dhs-dss.ch/fr/articles/002619/2014-02-25/
Trey;dhs-002589;commune;https://hls-dhs-dss.ch/fr/articles/002589/2011-07-04/
Treycovagnes;dhs-002652;commune;https://hls-dhs-dss.ch/fr/articles/002652/2014-02-25/
Treytorrens (Payerne);dhs-002590;commune;https://hls-dhs-dss.ch/fr/articles/002590/2011-09-15/
Trélex;dhs-002522;commune;https://hls-dhs-dss.ch/fr/articles/002522/2012-11-05/
Tévenon;dhs-049573;commune;https://hls-dhs-dss.ch/fr/articles/049573/2011-08-10/
Ursins;dhs-002653;commune;https://hls-dhs-dss.ch/fr/articles/002653/2013-02-22/
Valbroye;dhs-049661;commune;https://hls-dhs-dss.ch/fr/articles/049661/2017-01-05/
Valeyres-sous-Montagny;dhs-002654;commune;https://hls-dhs-dss.ch/fr/articles/002654/2014-03-05/
Valeyres-sous-Rances;dhs-002546;commune;https://hls-dhs-dss.ch/fr/articles/002546/2012-10-22/
Valeyres-sous-Ursins;dhs-002655;commune;https://hls-dhs-dss.ch/fr/articles/002655/2012-05-23/
Vallamand;dhs-002319;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002319/2017-02-08/
Vallorbe;dhs-002547;commune;https://hls-dhs-dss.ch/fr/articles/002547/2014-12-27/
Vaud, Le;dhs-002523;commune;https://hls-dhs-dss.ch/fr/articles/002523/2013-02-22/
Vaugondry;dhs-002401;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002401/2017-01-05/
Vaulion;dhs-002548;commune;https://hls-dhs-dss.ch/fr/articles/002548/2015-02-03/
Vaux-sur-Morges;dhs-002455;commune;https://hls-dhs-dss.ch/fr/articles/002455/2011-12-08/
Vernay, Le;dhs-028824;ancienne commune;https://hls-dhs-dss.ch/fr/articles/028824/2013-02-28/
Vevey (commune);dhs-002620;commune;https://hls-dhs-dss.ch/fr/articles/002620/2015-01-03/
Veytaux;dhs-002621;commune;https://hls-dhs-dss.ch/fr/articles/002621/2013-03-04/
Vich;dhs-002524;commune;https://hls-dhs-dss.ch/fr/articles/002524/2015-01-03/
Villars-Bramard;dhs-002591;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002591/2017-01-05/
Villars-Burquin;dhs-002402;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002402/2017-01-05/
Villars-Epeney;dhs-002656;commune;https://hls-dhs-dss.ch/fr/articles/002656/2011-08-31/
Villars-Lussery;dhs-002352;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002352/2013-03-07/
Villars-Mendraz;dhs-002491;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002491/2017-01-04/
Villars-Sainte-Croix;dhs-002456;commune;https://hls-dhs-dss.ch/fr/articles/002456/2013-03-07/
Villars-Tiercelin;dhs-002381;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002381/2017-01-04/
Villars-le-Comte;dhs-002490;commune;https://hls-dhs-dss.ch/fr/articles/002490/2013-06-06/
Villars-le-Grand;dhs-002320;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002320/2017-01-06/
Villars-le-Terroir;dhs-002380;commune;https://hls-dhs-dss.ch/fr/articles/002380/2013-07-09/
Villars-sous-Champvent;dhs-002657;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002657/2017-01-04/
Villars-sous-Yens;dhs-002457;commune;https://hls-dhs-dss.ch/fr/articles/002457/2013-07-09/
Villarzel;dhs-002592;commune;https://hls-dhs-dss.ch/fr/articles/002592/2017-05-11/
Villeneuve (VD);dhs-002289;commune;https://hls-dhs-dss.ch/fr/articles/002289/2017-11-23/
Villette (Lavaux);dhs-002426;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002426/2017-01-06/
Vinzel;dhs-002608;commune;https://hls-dhs-dss.ch/fr/articles/002608/2015-01-03/
Vuarrens;dhs-002382;commune;https://hls-dhs-dss.ch/fr/articles/002382/2013-03-14/
Vucherens;dhs-002492;commune;https://hls-dhs-dss.ch/fr/articles/002492/2012-06-26/
Vufflens-la-Ville;dhs-002353;commune;https://hls-dhs-dss.ch/fr/articles/002353/2015-01-05/
Vufflens-le-Château;dhs-002458;commune;https://hls-dhs-dss.ch/fr/articles/002458/2013-08-15/
Vugelles-La-Mothe;dhs-002658;commune;https://hls-dhs-dss.ch/fr/articles/002658/2012-08-16/
Vuibroye;dhs-002571;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002571/2017-01-05/
Vuitebœuf;dhs-002549;commune;https://hls-dhs-dss.ch/fr/articles/002549/2013-08-15/
Vulliens;dhs-002572;commune;https://hls-dhs-dss.ch/fr/articles/002572/2012-07-12/
Vullierens;dhs-002459;commune;https://hls-dhs-dss.ch/fr/articles/002459/2013-04-08/
Vully-les-Lacs;dhs-049598;commune;https://hls-dhs-dss.ch/fr/articles/049598/2019-04-03/
Yens;dhs-002460;commune;https://hls-dhs-dss.ch/fr/articles/002460/2012-10-01/
Yverdon-les-Bains;dhs-002659;commune;https://hls-dhs-dss.ch/fr/articles/002659/2019-04-03/
Yvonand;dhs-002660;commune;https://hls-dhs-dss.ch/fr/articles/002660/2019-04-03/
Yvorne;dhs-002290;commune;https://hls-dhs-dss.ch/fr/articles/002290/2013-04-22/
