GDEHISTID;GDENR;GdeName
12327;5492;Montricher
9982;9999;Morcles
12342;5642;Morges
12370;5527;Morrens (VD)
12377;5678;Moudon
12363;5460;Mur (VD)
12529;5563;Mutrux
12439;5920;Mézery-près-Donneloye
12441;5791;Mézières (VD)
12535;5528;Naz
9590;9999;Neyruz (VD)
12858;5564;Novalles
12822;5408;Noville
12542;5724;Nyon
12503;5680;Ogens
12505;5461;Oleyres
12507;5409;Ollon
12480;5565;Onnens (VD)
12493;5923;Oppens
12478;5757;Orbe
12487;5924;Orges
12489;5410;Ormont-Dessous
12490;5411;Ormont-Dessus
12491;5493;Orny
12492;5793;Oron-la-Ville
12399;5794;Oron-le-Châtel
13131;5925;Orzens
13136;5529;Oulens-sous-Echallens
13122;5681;Oulens-sur-Lucens
13121;5530;Pailly
13119;5795;Palézieux
13117;5494;Pampigny
13115;5588;Paudex
13147;5822;Payerne
13159;5796;Peney-le-Jorat
13158;5495;Penthalaz
13157;5496;Penthaz
13156;5531;Penthéréaz
13154;5860;Perroy
13150;5682;Peyres-Possens
13139;5433;Pizy
13085;5533;Poliez-Pittet
13086;5532;Poliez-le-Grand
13083;5497;Pompaples
13082;5926;Pomy
13070;5927;Prahins
13069;5725;Prangins
13109;5759;Premier
13089;5589;Prilly
13098;5566;Provence
13106;5643;Préverenges
13104;5683;Prévonloup
13096;5607;Puidoux
13095;5590;Pully
13163;5760;Rances
13079;5591;Renens (VD)
12860;5412;Rennaz
12913;5644;Reverolle
12892;5608;Riex
12945;5609;Rivaz
12942;5413;Roche (VD)
12932;5861;Rolle
11268;5761;Romainmôtier
12947;5567;Romairon
12930;5592;Romanel-sur-Lausanne
12929;5645;Romanel-sur-Morges
12920;5798;Ropraz
12887;5684;Rossenges
12843;5823;Rossens (VD)
12902;5842;Rossinière
12850;5843;Rougemont
12847;5928;Rovray
12842;5534;Rueyres
12866;5727;Saint-Cergue
12865;5685;Saint-Cierges
12864;5434;Saint-George
12946;5435;Saint-Livres
12975;5888;Saint-Légier-La Chiésaz
13030;5436;Saint-Oyens
13029;5646;Saint-Prex
13028;5610;Saint-Saphorin (Lavaux)
13027;5647;Saint-Saphorin-sur-Morges
13025;5648;Saint-Sulpice (VD)
13024;5568;Sainte-Croix
13008;5686;Sarzens
13049;5824;Sassel
13063;5437;Saubraz
13060;5611;Savigny
12992;5826;Seigneux
12998;5499;Senarclens
12995;5762;Sergey
12994;5799;Servion
12986;5728;Signy-Avenex
10418;5687;Sottens
10556;5929;Suchy
10600;5536;Sugnens
10542;5501;Sullens
10547;5930;Suscévaz
10548;5688;Syens
12954;5825;Sédeilles
13006;5500;Sévery
10553;5729;Tannay
10570;5862;Tartegnin
10568;5689;Thierrens
10876;5649;Tolochenaz
10901;5827;Trey
10887;5931;Treycovagnes
10873;5828;Treytorrens (Payerne)
10884;5730;Trélex
10937;5932;Ursins
10939;5933;Valeyres-sous-Montagny
10941;5763;Valeyres-sous-Rances
10928;5934;Valeyres-sous-Ursins
10947;5462;Vallamand
10949;5764;Vallorbe
10905;5569;Vaugondry
10915;5765;Vaulion
10909;5650;Vaux-sur-Morges
10924;5890;Vevey
10903;5891;Veytaux
10752;5732;Vich
10765;5829;Villars-Bramard
10766;5570;Villars-Burquin
10783;5935;Villars-Epeney
10771;5502;Villars-Lussery
10772;5691;Villars-Mendraz
10773;5651;Villars-Sainte-Croix
10163;5538;Villars-Tiercelin
10768;5690;Villars-le-Comte
10754;5463;Villars-le-Grand
10770;5537;Villars-le-Terroir
10774;5936;Villars-sous-Champvent
10841;5652;Villars-sous-Yens
10179;5830;Villarzel
10206;5414;Villeneuve (VD)
10035;5612;Villette (Lavaux)
10065;5863;Vinzel
10361;5539;Vuarrens
10377;5692;Vucherens
10379;5503;Vufflens-la-Ville
10385;5653;Vufflens-le-Château
10386;5937;Vugelles-La Mothe
10387;5802;Vuibroye
10452;5766;Vuiteboeuf
10453;5803;Vulliens
10454;5654;Vullierens
10306;5655;Yens
11339;5938;Yverdon
10307;5939;Yvonand
10308;5415;Yvorne
